Time,Channel A
(ms),(mV)

-109.86508218,168.05020000
-109.84460218,172.39900000
-109.82412218,176.74790000
-109.80364218,172.39900000
-109.78316218,168.05020000
-109.76268218,159.35240000
-109.74220218,150.65460000
-109.72172218,137.62320000
-109.70124218,128.92540000
-109.68076218,120.22770000
-109.66028218,115.87880000
-109.63980218,115.87880000
-109.61932218,120.22770000
-109.59884218,124.57650000
-109.57836218,133.27430000
-109.55788218,146.30570000
-109.53740218,155.00350000
-109.51692218,168.05020000
-109.49644218,172.39900000
-109.47596218,176.74790000
-109.45548218,172.39900000
-109.43500218,172.39900000
-109.41452218,163.70130000
-109.39404218,155.00350000
-109.37356218,141.95680000
-109.35308218,133.27430000
-109.33260218,124.57650000
-109.31212218,115.87880000
-109.29164218,115.87880000
-109.27116218,115.87880000
-109.25068218,120.22770000
-109.23020218,128.92540000
-109.20972218,137.62320000
-109.18924218,150.65460000
-109.16876218,159.35240000
-109.14828218,168.05020000
-109.12780218,172.39900000
-109.10732218,176.74790000
-109.08684218,172.39900000
-109.06636218,172.39900000
-109.04588218,163.70130000
-109.02540218,150.65460000
-109.00492218,141.95680000
-108.98444218,133.27430000
-108.96396218,120.22770000
-108.94348218,115.87880000
-108.92300218,115.87880000
-108.90252218,115.87880000
-108.88204218,120.22770000
-108.86156218,128.92540000
-108.84108218,137.62320000
-108.82060218,150.65460000
-108.80012218,159.35240000
-108.77964218,168.05020000
-108.75916218,172.39900000
-108.73868218,176.74790000
-108.71820218,176.74790000
-108.69772218,172.39900000
-108.67724218,163.70130000
-108.65676218,155.00350000
-108.63628218,141.95680000
-108.61580218,133.27430000
-108.59532218,120.22770000
-108.57484218,115.87880000
-108.55436218,115.87880000
-108.53388218,115.87880000
-108.51340218,120.22770000
-108.49292218,124.57650000
-108.47244218,133.27430000
-108.45196218,146.30570000
-108.43148218,155.00350000
-108.41100218,168.05020000
-108.39052218,172.39900000
-108.37004218,176.74790000
-108.34956218,176.74790000
-108.32908218,172.39900000
-108.30860218,168.05020000
-108.28812218,159.35240000
-108.26764218,150.65460000
-108.24716218,137.62320000
-108.22668218,128.92540000
-108.20620219,120.22770000
-108.18572219,115.87880000
-108.16524219,115.87880000
-108.14476219,115.87880000
-108.12428219,120.22770000
-108.10380219,124.57650000
-108.08332219,133.27430000
-108.06284219,141.95680000
-108.04236219,155.00350000
-108.02188219,168.05020000
-108.00140219,172.39900000
-107.98092219,176.74790000
-107.96044219,176.74790000
-107.93996219,172.39900000
-107.91948219,172.39900000
-107.89900219,163.70130000
-107.87852219,155.00350000
-107.85804219,146.30570000
-107.83756219,133.27430000
-107.81708219,124.57650000
-107.79660219,115.87880000
-107.77612219,111.52990000
-107.75564219,111.52990000
-107.73516219,115.87880000
-107.71468219,120.22770000
-107.69420219,128.92540000
-107.67372219,137.62320000
-107.65324219,146.30570000
-107.63276219,155.00350000
-107.61228219,168.05020000
-107.59180219,172.39900000
-107.57132219,176.74790000
-107.55084219,176.74790000
-107.53036219,172.39900000
-107.50988219,168.05020000
-107.48940219,163.70130000
-107.46892219,155.00350000
-107.44844219,141.95680000
-107.42796219,133.27430000
-107.40748219,124.57650000
-107.38700219,120.22770000
-107.36652219,111.52990000
-107.34604219,111.52990000
-107.32556219,115.87880000
-107.30508219,120.22770000
-107.28460219,124.57650000
-107.26412219,133.27430000
-107.24364219,146.30570000
-107.22316219,155.00350000
-107.20268219,163.70130000
-107.18220219,172.39900000
-107.16172219,176.74790000
-107.14124219,176.74790000
-107.12076219,176.74790000
-107.10028219,172.39900000
